interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,location_type,lmp,energy,congestion,loss
2024-01-02T03:00:00-05:00,2024-01-02 08:00:00+00:00,2024-01-02T04:00:00-05:00,2024-01-02 09:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,27.51,28.89,0.0,-1.38
2024-01-02T04:00:00-05:00,2024-01-02 09:00:00+00:00,2024-01-02T05:00:00-05:00,2024-01-02 10:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,28.63,30.09,0.0,-1.46
2024-01-02T05:00:00-05:00,2024-01-02 10:00:00+00:00,2024-01-02T06:00:00-05:00,2024-01-02 11:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,41.35,43.43,0.0,-2.08
2024-01-02T06:00:00-05:00,2024-01-02 11:00:00+00:00,2024-01-02T07:00:00-05:00,2024-01-02 12:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,50.12,52.59,0.0,-2.47
2024-01-02T07:00:00-05:00,2024-01-02 12:00:00+00:00,2024-01-02T08:00:00-05:00,2024-01-02 13:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,74.76,78.21,0.0,-3.45
2024-01-02T08:00:00-05:00,2024-01-02 13:00:00+00:00,2024-01-02T09:00:00-05:00,2024-01-02 14:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,43.88,46.12,0.0,-2.24
2024-01-02T09:00:00-05:00,2024-01-02 14:00:00+00:00,2024-01-02T10:00:00-05:00,2024-01-02 15:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,32.52,33.71,0.0,-1.19
2024-01-02T10:00:00-05:00,2024-01-02 15:00:00+00:00,2024-01-02T11:00:00-05:00,2024-01-02 16:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,38.36,38.2,0.0,0.16
2024-01-02T11:00:00-05:00,2024-01-02 16:00:00+00:00,2024-01-02T12:00:00-05:00,2024-01-02 17:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,33.1,32.66,0.0,0.44
2024-01-02T12:00:00-05:00,2024-01-02 17:00:00+00:00,2024-01-02T13:00:00-05:00,2024-01-02 18:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,30.4,30.0,0.0,0.4
2024-01-02T13:00:00-05:00,2024-01-02 18:00:00+00:00,2024-01-02T14:00:00-05:00,2024-01-02 19:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,32.3,31.95,0.0,0.35
